பரமவிஸுத்³த⁴ஸத்³தா⁴பு³த்³தி⁴வீரியபடிமண்டி³தஸீலாசாரஜ்ஜவமத்³த³வாதி³கு³ணஸமுத³ய,paramavisuddhasaddhābuddhivīriyapaṭimaṇḍitasīlācārajjavamaddavādiguṇasamudaya
அங்கு³லிமாலபிடகரட்ட²பாலக³ஜ்ஜிதஆளவகக³ஜ்ஜிதகூ³ள்ஹமக்³க³கூ³ள்ஹவெஸ்ஸந்தர,aṅgulimālapiṭakaraṭṭhapālagajjitaāḷavakagajjitagūḷhamaggagūḷhavessantara
ஸகஸமயஸமயந்தரக³ஹனஜ்ஜோ²கா³ஹணஸமத்த²பஞ்ஞாவெய்யத்தி,sakasamayasamayantaragahanajjhogāhaṇasamatthapaññāveyyatti
பரமவிஸுத்³த⁴ஸத்³தா⁴பு³த்³தி⁴வீரியபடிமண்டி³தேன,paramavisuddhasaddhābuddhivīriyapaṭimaṇḍitena
திக்க²க³ம்பீ⁴ரஜவனஞாணப்பபா⁴வவிஸேஸஸம்பன்னபா⁴வஞ்ச,tikkhagambhīrajavanañāṇappabhāvavisesasampannabhāvañca
பரமவிஸுத்³த⁴ஸத்³தா⁴ப³த்³தி⁴வீரியபடிமண்டி³தேன,paramavisuddhasaddhābaddhivīriyapaṭimaṇḍitena
த்³வாஸட்டி²ஸுத்தஸத்தஸதாதி⁴கஸத்தஸுத்தஸஹஸ்ஸானி,dvāsaṭṭhisuttasattasatādhikasattasuttasahassāni
அஸங்க³ஹிதேனஸம்பயுத்தவிப்பயுத்தபத³னித்³தே³ஸோ,asaṅgahitenasampayuttavippayuttapadaniddeso
அனேகஸத்த²ந்தரோசிதஸங்வண்ணனானயஸுகோவித³பா⁴வஞ்ச,anekasatthantarocitasaṃvaṇṇanānayasukovidabhāvañca
ஸங்க³ஹிதேனஸம்பயுத்தவிப்பயுத்தபத³னித்³தே³ஸோ,saṅgahitenasampayuttavippayuttapadaniddeso
விப்பயுத்தேனஸங்க³ஹிதாஸங்க³ஹிதபத³னித்³தே³ஸோ,vippayuttenasaṅgahitāsaṅgahitapadaniddeso
மக்³கா³மக்³க³ஞாணத³ஸ்ஸனவிஸுத்³தி⁴னித்³தே³ஸே,maggāmaggañāṇadassanavisuddhiniddese
ஸம்பயுத்தேனஸங்க³ஹிதாஸங்க³ஹிதபத³னித்³தே³ஸோ,sampayuttenasaṅgahitāsaṅgahitapadaniddeso
ஸீலாசாரஜ்ஜவமத்³த³வாதி³கு³ணஸமுத³யஸமுதி³தேன,sīlācārajjavamaddavādiguṇasamudayasamuditena
ஸத்தபஞ்ஞாஸபஞ்சஸதாதி⁴கனவஸுத்தஸஹஸ்ஸானி,sattapaññāsapañcasatādhikanavasuttasahassāni
ப³ஹலமஸ்ஸுதிஸ்ஸத்தே²ராத³யோஇந்தி³யரட்ட²தோ,bahalamassutissattherādayoindiyaraṭṭhato
லோஹத்³வாரரலக்³கா³மகோடிபஸ்ஸாவனவ்ஹயே,lohadvāraralaggāmakoṭipassāvanavhaye
ஸங்கீ³தித்தயாரூள்ஹபரிஸுத்³த⁴பாளிபிடகமேவ,saṅgītittayārūḷhaparisuddhapāḷipiṭakameva
ச²ட்ட²ஸங்கீ³திபா⁴ரனித்தா²ரகஸங்க⁴ஸமிதியா,chaṭṭhasaṅgītibhāranitthārakasaṅghasamitiyā
